,nome_munic,doseunica,segundadose,primeiradose
445,GUAIÇARA,319,6742,9141
446,GLICÉRIO,125,2799,3587
447,GETULINA,255,6697,8924
448,GENERAL SALGADO,236,7091,8625
449,GAVIÃO PEIXOTO,127,3035,3852
450,GASTÃO VIDIGAL,151,2356,2862
451,GARÇA,991,25779,34672
452,GÁLIA,134,4549,5474
453,GABRIEL MONTEIRO,62,1983,2315
454,FRANCO DA ROCHA,6980,87135,121432
455,FRANCISCO MORATO,4484,90707,133580
456,FRANCA,8455,203276,277411
457,FLORÍNEA,28,2095,3957
458,FLÓRIDA PAULISTA,279,8112,10138
459,FLOREAL,50,2194,2449
460,FLORA RICA,19,1176,1305
461,FERRAZ DE VASCONCELOS,5248,92189,129829
462,FERNÃO,30,1150,1436
463,FERNANDÓPOLIS,1481,48245,58934
464,FERNANDO PRESTES,125,3988,4899
465,FARTURA,371,8972,12873
466,EUCLIDES DA CUNHA PAULISTA,202,4448,6375
467,ESTRELA DO NORTE,48,1902,2250
468,ESTRELA D'OESTE,207,5775,7263
469,ESTIVA GERBI,319,5984,8770
470,ESPÍRITO SANTO DO TURVO,105,2865,3977
471,ESPÍRITO SANTO DO PINHAL,1005,26405,34890
472,ENGENHEIRO COELHO,632,10443,16031
473,EMILIANÓPOLIS,70,2168,2564
474,EMBU-GUAÇU,1400,35899,51083
475,EMBU DAS ARTES,7181,133057,201248
476,EMBAÚBA,60,1556,1849
477,ELISIÁRIO,100,2137,2635
478,ELIAS FAUSTO,540,9689,14043
479,ELDORADO,173,7491,10492
480,ECHAPORÃ,126,3819,5246
481,DUMONT,288,5897,8264
482,DUARTINA,291,8593,10546
483,DRACENA,848,29231,37905
484,DOURADO,215,5899,7307
485,DOLCINÓPOLIS,54,1706,1972
486,DOIS CÓRREGOS,682,15548,20200
487,DOBRADA,296,4761,6806
488,DIVINOLÂNDIA,227,8158,10051
489,DIRCE REIS,18,1195,1443
490,DIADEMA,10658,236454,328884
491,DESCALVADO,872,22440,27301
492,CUNHA,480,14022,17963
493,CUBATÃO,3242,65865,88536
494,CRUZEIRO,2060,47659,63281
495,CRUZÁLIA,32,1615,1793
496,CRISTAIS PAULISTA,215,5269,7160
497,CRAVINHOS,952,19983,28504
498,COTIA,6017,132450,189564
499,COSMORAMA,175,5292,6839
500,COSMÓPOLIS,2061,32082,45914
501,CORUMBATAÍ,87,2370,3216
502,CORONEL MACEDO,103,3213,3876
503,COROADOS,147,3608,4455
504,CORDEIRÓPOLIS,670,14292,19691
505,CONCHAS,378,10131,13631
506,CONCHAL,723,15077,22845
507,COLÔMBIA,160,4171,5356
508,COLINA,464,10504,14752
509,CLEMENTINA,264,4712,5825
510,CHAVANTES,315,7529,9703
511,CHARQUEADA,489,9752,13227
512,CESÁRIO LANGE,500,11124,14670
513,CERQUILHO,1340,29938,37603
514,CERQUEIRA CÉSAR,400,13112,18579
515,CEDRAL,214,6406,8250
516,CATIGUÁ,188,4791,6061
517,CATANDUVA,2860,78010,96581
518,CASTILHO,547,11423,15929
519,CÁSSIA DOS COQUEIROS,52,1880,2284
520,CASA BRANCA,770,17184,23529
521,CARDOSO,267,8170,9980
522,CARAPICUÍBA,10634,212120,314843
523,CARAGUATATUBA,2865,70158,99293
524,CAPIVARI,1467,31407,41485
525,CAPELA DO ALTO,560,12182,19149
526,CAPÃO BONITO,1042,27790,37347
527,CANITAR,141,2849,4118
528,CÂNDIDO RODRIGUES,56,2054,2443
529,CÂNDIDO MOTA,644,19215,24027
530,CANAS,130,2747,3642
531,CANANÉIA,251,7404,10332
532,CAMPOS NOVOS PAULISTA,110,2972,3889
533,CAMPOS DO JORDÃO,1306,29467,41272
534,CAMPO LIMPO PAULISTA,2258,40763,61438
535,CAMPINAS,30834,713037,928933
536,CAMPINA DO MONTE ALEGRE,128,4111,5145
537,CAJURU,574,14644,19722
538,CAJOBI,272,6297,7773
539,CAJATI,704,16137,23225
540,CAJAMAR,2331,45476,70312
541,CAIUÁ,62,3773,6347
542,CAIEIRAS,2828,55554,74690
543,CAIABU,58,2530,3117
544,CAFELÂNDIA,414,10117,13447
545,CACONDE,394,11461,15110
546,CACHOEIRA PAULISTA,852,16194,24492
547,CAÇAPAVA,2410,54323,74882
548,CABREÚVA,1435,29202,41052
549,CABRÁLIA PAULISTA,102,2763,3519
550,BURITIZAL,97,2479,3520
551,BURITAMA,440,11190,13917
552,BURI,472,11357,16119
553,BROTAS,610,15076,19692
554,BRODOWSKI,652,15127,19608
555,BREJO ALEGRE,72,1607,2127
556,BRAÚNA,139,3417,4402
557,BRAGANÇA PAULISTA,4656,113543,145996
558,BOREBI,50,1522,2095
559,BORBOREMA,401,10392,12350
560,BORACÉIA,103,2944,3807
561,BORÁ,10,659,836
562,BOM SUCESSO DE ITARARÉ,77,2265,3015
563,BOM JESUS DOS PERDÕES,710,14126,19438
564,BOITUVA,1755,33832,46948
565,BOFETE,292,5904,8730
566,BOCAINA,313,7703,9168
567,BOA ESPERANÇA DO SUL,417,8498,10850
568,BIRITIBA MIRIM,857,17444,23778
569,BIRIGUI,3522,70302,94409
570,BILAC,199,5189,6217
571,BERTIOGA,1816,36779,53174
572,BERNARDINO DE CAMPOS,204,7170,10231
573,BENTO DE ABREU,72,1700,2074
574,BEBEDOURO,1639,46165,62717
575,BAURU,8517,229335,304029
576,BATATAIS,1404,37313,49309
577,BASTOS,476,14188,17976
578,BARUERI,6232,158527,217798
579,BARRINHA,883,16708,24085
580,BARRETOS,2711,79350,101851
581,BARRA DO TURVO,95,3986,6136
582,BARRA DO CHAPÉU,115,3301,4336
583,BARRA BONITA,980,24281,29135
584,BARIRI,829,20033,25558
585,BARBOSA,115,3947,5209
586,BARÃO DE ANTONINA,45,2322,2934
587,BANANAL,262,5895,8522
588,BÁLSAMO,200,6113,7352
589,BALBINOS,52,4203,4545
590,BADY BASSITT,400,12290,15379
591,AVARÉ,2117,58157,76035
592,AVANHANDAVA,225,7327,9660
593,AVAÍ,40,3410,4226
594,AURIFLAMA,351,8516,11061
595,ATIBAIA,3531,83077,120450
596,ASSIS,2146,63949,82159
597,ASPÁSIA,15,1366,1616
598,ARUJÁ,2309,52717,68998
599,ARTUR NOGUEIRA,1508,31279,41854
600,ARIRANHA,258,5386,6654
601,AREIÓPOLIS,311,5872,7803
602,AREIAS,71,2315,3085
603,AREALVA,194,5692,6947
604,ARCO-ÍRIS,30,1355,1688
605,ARARAS,3812,81545,107165
606,ARARAQUARA,6064,153819,196739
607,ARAPEÍ,59,1651,2009
608,ARANDU,150,4167,5169
609,ARAMINA,134,3571,4391
610,ARAÇOIABA DA SERRA,816,19506,26074
611,ARAÇATUBA,4809,122181,160753
612,ARAÇARIGUAMA,587,10939,17194
613,APIAÍ,515,14932,19413
614,APARECIDA D'OESTE,78,3177,3711
